ACCP,Accor SA,PSE,6967.13
AV,Aviva,LSE,11315.61
ENQ,EnQuest,LSE,243.57
EVEE,eve Sleep,LSE,3.40
EZJ,Easyjet,LSE,3146.68
GYM,The Gym Group,LSE,276.98 
LLOY,Lloyds Banking Group,LSE,23454.32
NSCI,Netscientific,LSE,5.11
